acct, tweety, 0, 2.4596071243286133, 0.03663444519042969, 0.014630556106567383, 0.0020623207092285156, 2.5211329460144043, 2
activeharmony, tweety, 0, 1.4005942344665527, 0.03681302070617676, 0.015794754028320312, 0.0021772384643554688, 1.4656970500946045, 1
albert, tweety, 0, 3.1876180171966553, 0.03598380088806152, 0.04389190673828125, 0.03160524368286133, 3.3225696086883545, 6
acct, tweety, 1, 1.3889269828796387, 0.03524208068847656, 0.01348733901977539, 0.002014636993408203, 1.4465088844299316, 2
activeharmony, tweety, 1, 1.3653953075408936, 0.0360255241394043, 0.014030933380126953, 0.002096414566040039, 1.4250860214233398, 1
anaconda2, tweety, 0, 1.3816688060760498, 0.03592348098754883, 0.01362466812133789, 0.002201080322265625, 1.4416074752807617, 1
albert, tweety, 1, 1.5997662544250488, 0.035324811935424805, 0.038381099700927734, 0.024714946746826172, 1.7191133499145508, 6
acct, tweety, 2, 1.386622428894043, 0.03518414497375488, 0.013031959533691406, 0.0017695426940917969, 1.4431347846984863, 2
activeharmony, tweety, 2, 1.351029396057129, 0.03549313545227051, 0.013075828552246094, 0.00177764892578125, 1.4079477787017822, 1
perl, tweety, 0, 2.252800941467285, 0.03621959686279297, 0.08780646324157715, 0.08291792869567871, 2.496474027633667, 13
alglib, tweety, 0, 1.4240033626556396, 0.03516864776611328, 0.013062000274658203, 0.0017938613891601562, 1.482558250427246, 1
anaconda2, tweety, 1, 1.3463990688323975, 0.03524947166442871, 0.013954639434814453, 0.0022830963134765625, 1.404068946838379, 1
apple-libunwind, tweety, 0, 1.3699836730957031, 0.035681724548339844, 0.013638496398925781, 0.0009856224060058594, 1.4212684631347656, 1
patch, tweety, 0, 1.418560266494751, 0.03570675849914551, 0.013591289520263672, 0.0019214153289794922, 1.4783179759979248, 2
ace, tweety, 0, 1.3679897785186768, 0.03512239456176758, 0.013236045837402344, 0.0018320083618164062, 1.4257252216339111, 1
aragorn, tweety, 0, 1.3819806575775146, 0.035199642181396484, 0.013344764709472656, 0.001870870590209961, 1.4397990703582764, 1
aspell6-en, tweety, 0, 1.414841651916504, 0.03690338134765625, 0.015227556228637695, 0.002595663070678711, 1.481618881225586, 3
pgi, tweety, 0, 1.3622474670410156, 0.03430032730102539, 0.013353109359741211, 0.0022101402282714844, 1.4202990531921387, 1
poamsa, tweety, 0, 1.3897476196289062, 0.03573155403137207, 0.013230085372924805, 0.0017392635345458984, 1.4481017589569092, 1
cityhash, tweety, 0, 1.4802961349487305, 0.03615546226501465, 0.013906240463256836, 0.0019762516021728516, 1.5399692058563232, 2
aspell6-de, tweety, 0, 1.5889179706573486, 0.03624749183654785, 0.015365123748779297, 0.002624034881591797, 1.6566157341003418, 3
aspell, tweety, 0, 1.596411943435669, 0.03530526161193848, 0.013481855392456055, 0.001748800277709961, 1.655606985092163, 2
cdbfasta, tweety, 0, 1.5427711009979248, 0.035308837890625, 0.020969867706298828, 0.005866527557373047, 1.6164462566375732, 2
bashtop, tweety, 0, 1.6121244430541992, 0.03592872619628906, 0.013813257217407227, 0.0020029544830322266, 1.671476125717163, 1
pigz, tweety, 0, 1.6152641773223877, 0.033288002014160156, 0.019711732864379883, 0.005971193313598633, 1.6874661445617676, 2
albert, tweety, 2, 1.5885324478149414, 0.035181283950805664, 0.03723788261413574, 0.023213624954223633, 1.7042102813720703, 6
premake-core, tweety, 0, 1.707862138748169, 0.03596925735473633, 0.013432979583740234, 0.0019245147705078125, 1.7669041156768799, 1
acpid, tweety, 0, 3.2397923469543457, 0.03539752960205078, 0.1502995491027832, 0.17009830474853516, 3.67215895652771, 22
acct, handy, 0, 1.453847885131836, 0.03487133979797363, 0.01329803466796875, 0.0022988319396972656, 1.511967420578003, 2
activeharmony, handy, 0, 1.4478144645690918, 0.0360414981842041, 0.013658523559570312, 0.0024161338806152344, 1.5069243907928467, 1
pstreams, tweety, 0, 1.8988265991210938, 0.035114288330078125, 0.013073921203613281, 0.0017914772033691406, 1.9569611549377441, 1
cbc, tweety, 0, 1.9164907932281494, 0.03595256805419922, 0.022610187530517578, 0.006772279739379883, 2.002845287322998, 6
pmgr-collective, tweety, 0, 1.9968898296356201, 0.035112619400024414, 0.013306617736816406, 0.0016736984252929688, 2.0539581775665283, 1
perl-clone-choose, tweety, 0, 2.1814210414886475, 0.03574705123901367, 0.0833749771118164, 0.08792400360107422, 2.431196451187134, 14
perl-clone, tweety, 0, 2.1918585300445557, 0.035472869873046875, 0.08417701721191406, 0.0850820541381836, 2.437779188156128, 14
alglib, tweety, 1, 1.3517935276031494, 0.03485393524169922, 0.013321638107299805, 0.0018215179443359375, 1.408487319946289, 1
cinch, tweety, 0, 2.1362318992614746, 0.036138296127319336, 0.016520023345947266, 0.0037441253662109375, 2.2016286849975586, 1
bwtool, tweety, 0, 2.188854217529297, 0.03512263298034668, 0.015323162078857422, 0.002641439437866211, 2.2536122798919678, 3
colm, tweety, 0, 2.289721965789795, 0.035297393798828125, 0.013450384140014648, 0.001753091812133789, 2.347663164138794, 2
perl-cpan-meta-check, tweety, 0, 2.1967129707336426, 0.03580141067504883, 0.08690214157104492, 0.08951115608215332, 2.4606001377105713, 15
perl-extutils-pkgconfig, tweety, 0, 2.2147529125213623, 0.035486698150634766, 0.08394885063171387, 0.08653998374938965, 2.4670228958129883, 14
perl-log-log4perl, tweety, 0, 2.1949543952941895, 0.035428524017333984, 0.0815894603729248, 0.07835245132446289, 2.429069757461548, 14
