cdbfasta, 2437, 2869
capnproto, 2402, 2006
cap3, 2401, 1999
cc65, 2405, 2027
cdhit, 2929, 12857
cddlib, 3168, 21460
candle-benchmarks, 4752, 3585
brltty, 6321, 88948
bracken, 6434, 91443
cbtf-lanl, 4404, 3278
cgdcbxd, 6525, 95023
cgdb, 6404, 90666
bear, 42180, 749613
blaze, 42201, 751386
chaplin, 2401, 1999
check, 2403, 2013
athena, 42700, 757614
barrnap, 42270, 758763
bcl2fastq2, 42294, 750297
atmi, 42386, 750245
audacious, 42189, 750430
boinc-client, 42791, 769054
chapel, 2409, 2055
cdecimal, 2401, 1999
blasr-libcpp, 43101, 778930
biobloom, 42196, 753200
cgl, 2469, 4814
cdd, 3126, 20096
bolt, 42196, 749994
audacity, 42204, 752481
blast2go, 42474, 755257
amrvis, 42447, 758119
beast1, 43847, 767205
chrpath, 2401, 1999
chlorop, 6458, 93264
cget, 7851, 109488
cinch, 2402, 2006
arborx, 65097, 992104
blasr, 43160, 782503
amrex, 74337, 1076761
amr-wind, 78444, 1102571
arrayfire, 46368, 819622
blast-plus, 42335, 751938
biopieces, 44342, 829345
augustus, 49492, 916161
bpp-suite, 42339, 758392
ascent, 97167, 1269072
aspect, 86375, 1280723
axom, 89198, 1259157
bowtie, 42471, 753231
botan, 42191, 749678
brpc, 42624, 762085
bowtie2, 42617, 753765
c-ares, 42174, 749490
c-blosc2, 42411, 753833
byteman, 42158, 749924
branson, 42399, 759131
bohrium, 57722, 997008
chrony, 6407, 90648
c-blosc, 42362, 752979
clp, 2441, 3751
cityhash, 2402, 2006
cntk1bitsgd, 2402, 2006
cmaq, 2402, 2006
c, 2401, 1328
clustalw, 2401, 1999
clapack, 2456, 2910
cbc, 2497, 5883
clustal-omega, 2417, 2803
byacc, 3146, 20471
cloc, 2911, 12703
coinutils, 2401, 1999
c-lime, 2401, 1999
bwtool, 2417, 2803
cachefilesd, 2405, 2027
ca-certificates-mozilla, 2410, 2062
cbflib, 2445, 3654
cmockery, 3143, 20479
cloog, 3192, 22343
cbtf-argonavis, 4404, 3278
codar-cheetah, 6319, 87380
colm, 2401, 1999
cbtf, 4400, 3274
cln, 6351, 89325
cbtf-krell, 4404, 3278
cctools, 6548, 92060
colordiff, 2910, 12696
cbtf-argonavis-gui, 4404, 3278
compositeproto, 2512, 4611
connect-proxy, 2401, 1999
conserver, 2405, 2027
constype, 2512, 4611
conda4aarch64, 2464, 2096
coreutils, 2412, 2052
corset, 2402, 2006
ccache, 42229, 750123
cereal, 42277, 749728
bpp-core, 42174, 749485
cfitsio, 42174, 749624
bpp-seq, 42222, 752286
brigand, 42176, 749504
camp, 43701, 753561
compiz, 8783, 159706
canal, 42155, 749903
bpp-phyl-omics, 42400, 761377
breakdancer, 42539, 769156
butter, 42752, 763156
breseq, 42496, 759612
cowsay, 2908, 12684
camx, 42162, 751080
canu, 42427, 758318
cpio, 2401, 1999
cotter, 2925, 1851
butterflypack, 42577, 773069
boxlib, 42185, 751254
ccls, 42327, 752619
charliecloud, 42333, 755790
cgal, 42328, 753196
collectd, 42144, 38823
charmpp, 42583, 755010
ccs-qcd, 42154, 751061
cray-libsci, 2443, 2134
cray-mpich, 2417, 2071
cqrlib, 3126, 20096
changa, 42602, 757657
csa-c, 2401, 1999
cronie, 2401, 1999
cppunit, 2411, 2042
csdp, 2448, 2890
cppcheck, 6667, 90346
cryptopp, 6564, 93776
cscope, 6399, 90660
ccfits, 42191, 752231
ceres-solver, 42354, 759547
chombo, 42207, 753197
cub, 2415, 2097
chill, 42536, 760045
cli11, 42173, 749478
chai, 49622, 778159
cnmem, 42269, 749672
chatterbug, 43040, 768142
cdo, 44935, 817551
codec2, 42172, 749476
chgcentre, 46319, 822763
cohmm, 42380, 757530
code-server, 42189, 749510
channelflow, 43117, 775237
cgns, 42387, 751884
cloverleaf, 42247, 751349
