rr, 39108, 390594
squashfs, 38991, 384017
umpire, 42320, 396609
xios, 40442, 412250
asciidoc-py3, 4468, 32369
bat, 39008, 386018
cbench, 39276, 390010
dbow2, 52493, 537158
ftk, 44016, 444051
healpix-cxx, 39090, 390677
kim-api, 39037, 386113
libpam, 948, 5865
libtomlc99, 206, 283
libxinerama, 1234, 8402
llvm-openmp-ompt, 39380, 389760
mrbayes, 40519, 396987
openfoam, 23434, 22262
parallelio, 40396, 411640
prrte, 39050, 386340
py-azureml-pipeline, 48033, 514807
py-elephant, 41804, 414343
py-intervaltree, 4384, 29203
py-keyboard, 4362, 28715
py-markdown2, 4412, 28824
py-mysql-connector-python, 39557, 393883
py-pycifrw, 4354, 28706
py-pymeeus, 4354, 28706
py-pytest-cache, 6751, 44943
py-python-socketio, 4694, 31623
py-requests-unixsocket, 39148, 386844
py-tokenizers, 39025, 386141
r-adgoftest, 39261, 389983
r-biostrings, 40136, 404313
r-do-db, 41403, 460872
r-ggthemes, 42689, 522663
r-lubridate, 39685, 403173
r-phantompeakqualtools, 41513, 442815
r-rprojroot, 39327, 392165
r-teachingdemos, 39295, 390058
rdc, 39682, 398166
shapeit, 197, 244
singularity, 38991, 384041
tcptrace, 4166, 29140
tophat, 39551, 392022
xcompmgr, 1485, 11165
xlogo, 4344, 31385
z3, 38991, 384025
aria2, 39080, 388290
bridger, 39012, 386050
cppzmq, 39170, 386433
erne, 39064, 386166
gatepet2stir, 46289, 488710
hpcviewer, 39061, 386291
krims, 39072, 386151
libqrencode, 952, 5821
libvorbis, 290, 945
libxslt, 4331, 30780
lulesh, 39228, 389763
muse, 232, 484
nauty, 974, 6054
netlib-xblas, 216, 288
nmap, 199, 258
nvshmem, 41415, 392546
perl-clone-choose, 678, 3380
perl-extutils-makemaker, 702, 3430
perl-math-vecstat, 678, 3380
perl-test-output, 683, 3415
pkgconf, 221, 334
procps, 4127, 27947
py-alabaster, 4356, 28720
py-ase, 45243, 461029
py-brian2, 40513, 397609
py-gdc-client, 4354, 28706
py-griddataformats, 39088, 386281
py-munch, 4459, 29377
py-numpy, 38991, 384075
py-pygments, 4386, 28803
py-pyshp, 4429, 28863
py-python-igraph, 4376, 29153
py-queryablelist, 4354, 28706
py-rsa, 4464, 29381
py-simplegeneric, 4355, 28713
py-sphinxcontrib-htmlhelp, 4366, 28735
py-syned, 40445, 398411
qucs, 57401, 537062
r-chemometrics, 39906, 417808
r-factominer, 50120, 744446
r-locfit, 39380, 392268
r-pbkrtest, 45913, 572825
r-rspectra, 39610, 398981
r-tictoc, 39294, 390051
recorder, 39053, 386729
simplemoc, 39015, 386481
texstudio, 39078, 386215
xbitmaps, 290, 945
xerces-c, 39051, 386245
arm-forge, 4030, 27562
bart, 44834, 448061
clp, 237, 662
coinhsl, 39018, 386502
dramsim2, 197, 244
eclipse-gcj-parser, 197, 244
energyplus, 199, 258
exago, 70150, 591253
h2database, 39021, 386211
infernal, 39015, 386481
libcuml, 44549, 438283
mesa18, 38991, 383997
ncompress, 198, 251
nfs-ganesha, 39204, 389781
p3dfft3, 39255, 389546
ppopen-appl-bem, 39007, 386461
py-azure-mgmt-servicebus, 39604, 402602
py-cppheaderparser, 4377, 29159
py-dulwich, 39089, 386282
py-html5lib, 4668, 30239
py-ipywidgets, 42734, 430383
py-path-py, 4355, 28713
py-pmw, 4010, 27519
py-pyasn1-modules, 4478, 29410
py-pyjnius, 39040, 386305
py-scikit-build, 4983, 32190
py-sortedcollections, 4381, 29195
py-stestr, 4428, 28856
py-testfixtures, 4354, 28706
py-tpot, 45781, 464243
r-amap, 39328, 390131
r-caroline, 39294, 390051
r-energy, 39411, 394419
r-googlevis, 39325, 392172
r-lme4, 42854, 465522
r-polyclip, 39294, 390051
r-rjsonio, 39264, 390004
r-spdep, 45831, 530058
rlwrap, 347, 1252
rocsparse, 39696, 389666
spglib, 39050, 386204
tskit, 40270, 402040
xkbevd, 1304, 8843
xsm, 4326, 31253
armadillo, 39345, 392975
ca-certificates-mozilla, 206, 307
cddlib, 937, 5770
clamav, 39077, 386663
dcap, 910, 5484
dnsmap, 197, 244
ecflow, 39188, 386483
freeimage, 197, 244
g4radioactivedecay, 201, 272
genie, 46309, 487205
http-ping, 197, 244
hypre, 41793, 399459
libcyaml, 948, 5801
libflame, 38991, 384030
magma, 43020, 410281
nanomsg, 39032, 386078
openpmd-api, 43616, 439934
planck-likelihood, 39087, 388784
py-azure-mgmt-authorization, 39605, 402609
py-cf-units, 39163, 389233
py-geocube, 57198, 616356
py-pkginfo, 4355, 28711
py-py4j, 4358, 28734
py-pygelf, 4355, 28713
py-pyqt4, 39076, 386708
py-spectra, 39216, 389450
py-websocket-client, 4589, 30015
python, 3993, 27154
r-ade4, 40239, 430847
r-blob, 40527, 432107
r-dt, 43502, 553979
r-gosemsim, 41546, 463375
r-maps, 39296, 390065
r-phyloseq, 44847, 583967
r-rsvd, 39477, 394515
r-tidygraph, 41691, 466840
ripgrep, 39007, 386011
skopeo, 40963, 407333
transdecoder, 722, 3858
umoci, 39032, 388057
xf86driproto, 290, 945
xqilla, 39079, 388261
argobots, 38991, 384029
bpp-phyl, 39134, 390304
conda4aarch64, 260, 318
cowsay, 677, 3375
