alquimia, 0, 0, 0
autodock-gpu, 0, 1, 0.8496718406677246
ambari, 1, 0, 0
aws-parallelcluster, 2, 0, 0
bash, 0, 1, 0.6074063777923584
autodock-gpu, 1, 0, 0
autodock-gpu, 2, 0, 0
autodock-vina, 0, 1, 0.907360315322876
bash, 1, 0, 0
bash, 2, 0, 0
autodock-vina, 1, 0, 0
autodock-vina, 2, 0, 0
bdii, 0, 1, 0.2828025817871094
awscli, 0, 0, 0
bdii, 1, 0, 0
bdii, 2, 0, 0
beakerlib, 0, 1, 0.07764291763305664
beakerlib, 1, 0, 0
beakerlib, 2, 0, 0
aom, 0, 1, 1.242053508758545
ambari, 2, 0, 0
beagle, 0, 1, 0.18223309516906738
beagle, 1, 0, 0
beagle, 2, 0, 0
admixtools, 0, 1, 1.240121841430664
bdw-gc, 0, 1, 0.2358992099761963
bdw-gc, 1, 0, 0
bdw-gc, 2, 0, 0
bedops, 0, 1, 0.07726216316223145
bedops, 1, 0, 0
bedops, 2, 0, 0
alquimia, 1, 0, 0
aom, 1, 0, 0
aom, 2, 0, 0
beast-tracer, 0, 1, 0.23426556587219238
admixtools, 1, 0, 0
admixtools, 2, 0, 0
beast2, 0, 1, 0.1947007179260254
beast-tracer, 1, 0, 0
beast-tracer, 2, 0, 0
beast2, 1, 0, 0
beast2, 2, 0, 0
ack, 0, 1, 1.1708922386169434
autoconf, 0, 1, 1.3311350345611572
ape, 0, 1, 1.1128628253936768
abseil-cpp, 0, 1, 1.5529606342315674
aocl-sparse, 0, 0, 0
aocl-sparse, 1, 0, 0
aocl-sparse, 2, 0, 0
ack, 1, 0, 0
ack, 2, 0, 0
berkeley-db, 0, 1, 0.16884469985961914
berkeley-db, 1, 0, 0
berkeley-db, 2, 0, 0
autoconf, 1, 0, 0
autoconf, 2, 0, 0
args, 0, 1, 1.5541832447052002
automake, 0, 1, 1.4526588916778564
ape, 1, 0, 0
ape, 2, 0, 0
alembic, 0, 1, 1.6702072620391846
3proxy, 0, 1, 1.6926109790802002
augustus, 0, 0, 0
acpid, 0, 1, 1.7061457633972168
abseil-cpp, 1, 0, 0
abseil-cpp, 2, 0, 0
advancecomp, 0, 1, 1.7149946689605713
asio, 0, 1, 1.7594411373138428
