activemq, tweety, 0, 0.05161285400390625, 0.00566554069519043, 0.015511512756347656, 0.0014081001281738281, 0.08495450019836426, 1
aespipe, tweety, 0, 0.047652244567871094, 0.00554203987121582, 0.015507698059082031, 0.001528024673461914, 0.08128166198730469, 1
argon2, tweety, 0, 0.05083131790161133, 0.005620002746582031, 0.015480279922485352, 0.0016210079193115234, 0.08463621139526367, 1
activeharmony, tweety, 0, 0.051103830337524414, 0.005634784698486328, 0.015446186065673828, 0.001336812973022461, 0.08595633506774902, 1
aeskeyfind, tweety, 0, 0.0571136474609375, 0.005353450775146484, 0.015092849731445312, 0.0012617111206054688, 0.08941531181335449, 1
argp-standalone, tweety, 0, 0.05517768859863281, 0.005479335784912109, 0.01506185531616211, 0.0012722015380859375, 0.08787965774536133, 1
aspell6-en, tweety, 0, 0.058472394943237305, 0.006197452545166016, 0.017408132553100586, 0.0023097991943359375, 0.10559868812561035, 2
ampl, tweety, 0, 0.08237290382385254, 0.006229400634765625, 0.017170429229736328, 0.0016896724700927734, 0.11906814575195312, 1
astyle, tweety, 0, 0.05187225341796875, 0.006150960922241211, 0.017232179641723633, 0.0017795562744140625, 0.08902573585510254, 1
aspell6-es, tweety, 0, 0.07296395301818848, 0.005853891372680664, 0.018085718154907227, 0.0023119449615478516, 0.12096929550170898, 2
alglib, tweety, 0, 0.09274911880493164, 0.006269931793212891, 0.016936063766479492, 0.0012974739074707031, 0.12824535369873047, 1
alan, tweety, 0, 0.09438085556030273, 0.005934715270996094, 0.01676321029663086, 0.001405954360961914, 0.12981104850769043, 1
aspera-cli, tweety, 0, 0.0912482738494873, 0.006376981735229492, 0.016865253448486328, 0.0013973712921142578, 0.12778329849243164, 1
agrep, tweety, 0, 0.10029292106628418, 0.006025075912475586, 0.01611924171447754, 0.0014083385467529297, 0.13561558723449707, 1
aida, tweety, 0, 0.1121366024017334, 0.005699634552001953, 0.016747474670410156, 0.0013742446899414062, 0.14748835563659668, 1
activemq, tweety, 1, 0.04110598564147949, 0.005519390106201172, 0.015276432037353516, 0.0013430118560791016, 0.0741117000579834, 1
aespipe, tweety, 1, 0.0418400764465332, 0.005456447601318359, 0.015350580215454102, 0.0014641284942626953, 0.07428860664367676, 1
allpaths-lg, tweety, 0, 0.12056493759155273, 0.0058062076568603516, 0.017162322998046875, 0.0019383430480957031, 0.15697789192199707, 1
argon2, tweety, 1, 0.04134535789489746, 0.005426168441772461, 0.015514612197875977, 0.001524209976196289, 0.07442355155944824, 1
aeskeyfind, tweety, 1, 0.041852712631225586, 0.00533747673034668, 0.015053272247314453, 0.0012664794921875, 0.07395505905151367, 1
activeharmony, tweety, 1, 0.04131364822387695, 0.005396366119384766, 0.015456199645996094, 0.0013687610626220703, 0.07479405403137207, 1
aspell6-de, tweety, 0, 0.054373979568481445, 0.006326913833618164, 0.01924419403076172, 0.0024557113647460938, 0.1037290096282959, 2
argp-standalone, tweety, 1, 0.04134845733642578, 0.005404949188232422, 0.015001773834228516, 0.0012521743774414062, 0.07367825508117676, 1
abduco, tweety, 0, 0.04841184616088867, 0.0055408477783203125, 0.015531778335571289, 0.0016963481903076172, 0.08213400840759277, 1
albert, tweety, 0, 0.10839223861694336, 0.005989789962768555, 0.022854089736938477, 0.006085395812988281, 0.17746686935424805, 5
ampl, tweety, 1, 0.04480862617492676, 0.006098508834838867, 0.017034053802490234, 0.0017368793487548828, 0.08118224143981934, 1
aspell6-en, tweety, 1, 0.04523324966430664, 0.006135225296020508, 0.017502307891845703, 0.002358675003051758, 0.09290719032287598, 2
astyle, tweety, 1, 0.04433584213256836, 0.006334066390991211, 0.017364501953125, 0.0018007755279541016, 0.08249044418334961, 1
alglib, tweety, 1, 0.04337453842163086, 0.005899667739868164, 0.01688528060913086, 0.0014259815216064453, 0.0793917179107666, 1
alan, tweety, 1, 0.04439401626586914, 0.006033420562744141, 0.016813278198242188, 0.0013363361358642578, 0.07963323593139648, 1
aspera-cli, tweety, 1, 0.04461097717285156, 0.006129264831542969, 0.016754865646362305, 0.0013644695281982422, 0.0809173583984375, 1
agrep, tweety, 1, 0.043375492095947266, 0.00602269172668457, 0.0161285400390625, 0.0013668537139892578, 0.07807755470275879, 1
aspell6-es, tweety, 1, 0.04587531089782715, 0.005878448486328125, 0.018018484115600586, 0.002271890640258789, 0.0922551155090332, 2
aida, tweety, 1, 0.04324054718017578, 0.005805492401123047, 0.0168917179107666, 0.0014393329620361328, 0.07860064506530762, 1
arm, tweety, 0, 0.05132460594177246, 0.006612539291381836, 0.017175912857055664, 0.0014691352844238281, 0.08827805519104004, 1
activemq, tweety, 2, 0.0413050651550293, 0.005665779113769531, 0.015520095825195312, 0.0014033317565917969, 0.07469797134399414, 1
aespipe, tweety, 2, 0.04202914237976074, 0.0054395198822021484, 0.015691041946411133, 0.001547098159790039, 0.07494115829467773, 1
aspell, tweety, 0, 0.050711631774902344, 0.006513357162475586, 0.016219377517700195, 0.0014300346374511719, 0.08828091621398926, 1
argon2, tweety, 2, 0.041278839111328125, 0.005821943283081055, 0.015488624572753906, 0.0014793872833251953, 0.07446122169494629, 1
aeskeyfind, tweety, 2, 0.04163718223571777, 0.005419254302978516, 0.015355348587036133, 0.0012905597686767578, 0.07407784461975098, 1
argp-standalone, tweety, 2, 0.04153704643249512, 0.005560636520385742, 0.015289545059204102, 0.0012836456298828125, 0.07381653785705566, 1
activeharmony, tweety, 2, 0.042856454849243164, 0.005528688430786133, 0.015644073486328125, 0.001405954360961914, 0.0764153003692627, 1
